City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,79.93,67,23,4.9,light rain
1,Charters Towers,AU,-20.1,146.2667,84.96,52,100,12.28,overcast clouds
2,San Patricio,US,28.017,-97.5169,53.17,66,100,6.87,overcast clouds
3,Goundam,ML,16.4145,-3.6708,68.76,17,0,9.78,clear sky
4,Jardim,BR,-21.4803,-56.1381,73.96,93,100,5.14,overcast clouds
5,Elko,US,41.0002,-115.5012,44.6,49,90,6.91,overcast clouds
6,Raudeberg,NO,61.9875,5.1352,33.06,87,97,20.78,overcast clouds
7,Mataura,NZ,-46.1927,168.8643,48.0,80,100,8.01,overcast clouds
8,Klaksvik,FO,62.2266,-6.589,37.85,74,38,23.71,scattered clouds
9,Qaanaaq,GL,77.484,-69.3632,-13.38,65,0,7.02,clear sky
10,Unidad,PH,8.535,126.2306,81.21,73,100,9.55,overcast clouds
11,Balabac,PH,7.9868,117.0645,81.09,77,99,14.05,overcast clouds
12,Busselton,AU,-33.65,115.3333,70.0,72,0,1.99,clear sky
13,Puli,TW,23.9664,120.9695,60.01,51,20,18.41,few clouds
14,Katsuura,JP,35.1333,140.3,46.69,53,9,13.69,clear sky
15,Morro Bay,US,35.3658,-120.8499,51.01,97,100,1.99,moderate rain
16,Punta Arenas,CL,-53.15,-70.9167,46.4,61,75,19.57,broken clouds
17,Lebu,CL,-37.6167,-73.65,58.75,97,100,12.84,overcast clouds
18,Ozernovskiy,RU,51.5,156.5167,25.36,95,100,5.37,overcast clouds
19,Bluff,NZ,-46.6,168.3333,48.0,80,100,8.01,overcast clouds
20,Komsomolskiy,UZ,40.4272,71.7189,28.4,59,0,6.91,clear sky
21,Vaini,TO,-21.2,-175.2,80.1,84,94,33.49,moderate rain
22,Ribeira Grande,PT,38.5167,-28.7,60.62,87,100,35.37,overcast clouds
23,Naze,JP,28.3667,129.4833,50.41,74,42,20.6,scattered clouds
24,Praxedis Guerrero,MX,31.3667,-106.0167,62.6,20,20,8.93,few clouds
25,Bendigo,AU,-36.7667,144.2833,62.01,74,100,1.01,light rain
26,Punta Gorda,US,26.9298,-82.0454,61.0,51,1,8.05,clear sky
27,Longyearbyen,SJ,78.2186,15.6401,-2.2,46,20,18.41,few clouds
28,Carnarvon,AU,-24.8667,113.6333,80.6,54,0,16.11,clear sky
29,Port-Cartier,CA,50.0334,-66.8654,12.2,67,84,9.22,broken clouds
30,Bethel,US,41.3712,-73.414,19.0,57,0,15.66,clear sky
31,Sitka,US,57.0531,-135.33,35.6,64,75,6.91,broken clouds
32,Shubarshi,KZ,48.5872,57.1869,15.96,93,98,15.57,overcast clouds
33,Jamestown,US,42.097,-79.2353,19.0,86,90,19.57,light snow
34,Nikolskoye,RU,59.7035,30.7861,30.2,93,75,6.71,light snow
35,Kulhudhuffushi,MV,6.6221,73.07,80.56,58,0,4.88,clear sky
36,Broome,US,42.2506,-75.833,15.01,67,90,16.11,light snow
37,Cabo San Lucas,MX,22.8909,-109.9124,75.2,53,1,8.05,clear sky
38,Mahebourg,MU,-20.4081,57.7,75.2,88,40,9.06,scattered clouds
39,Thompson,CA,55.7435,-97.8558,-4.0,84,75,4.61,broken clouds
40,Hobart,AU,-42.8794,147.3294,66.0,55,90,14.97,light rain
41,Hermanus,ZA,-34.4187,19.2345,62.01,76,4,6.02,clear sky
42,Chuy,UY,-33.6971,-53.4616,69.19,75,0,11.18,clear sky
43,Bredasdorp,ZA,-34.5322,20.0403,55.4,82,1,5.75,clear sky
44,Chumikan,RU,54.7183,135.315,-10.35,87,100,10.11,overcast clouds
45,Dingle,PH,10.9995,122.6711,76.73,85,89,12.12,overcast clouds
46,Saskylakh,RU,71.9167,114.0833,-41.1,79,40,4.05,scattered clouds
47,Upernavik,GL,72.7868,-56.1549,-12.89,85,0,11.5,clear sky
48,Atasu,KZ,48.6814,71.6433,14.47,85,29,3.09,scattered clouds
49,Batsfjord,NO,70.6345,29.7185,20.77,92,100,21.61,overcast clouds
50,Mnogovershinnyy,RU,53.9353,139.9242,-7.4,91,95,1.03,overcast clouds
51,Ukiah,US,39.1502,-123.2078,51.8,62,75,5.75,broken clouds
52,Atuona,PF,-9.8,-139.0333,78.71,74,11,18.59,few clouds
