City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chany,RU,2021-01-26 22:11:09,55.3121,76.7647,25.56,98,98,13.94
1,Hithadhoo,MV,2021-01-26 22:15:52,-0.6,73.0833,79.61,81,91,11.59
2,Airai,TL,2021-01-26 22:15:52,-8.9266,125.4092,60.04,100,99,3.06
3,Ternate,ID,2021-01-26 22:15:52,0.8,127.4,79.14,79,100,5.84
4,Kalengwa,ZM,2021-01-26 22:15:52,-13.4659,25.0027,62.64,97,100,3.65
5,Mataura,NZ,2021-01-26 22:15:53,-46.1927,168.8643,75.0,53,100,10.0
6,Yellowknife,CA,2021-01-26 22:15:53,62.456,-114.3525,-11.0,64,75,9.22
7,Saint-Philippe,RE,2021-01-26 22:15:53,-21.3585,55.7679,77.0,65,0,5.75
8,Punta Arenas,CL,2021-01-26 22:15:53,-53.15,-70.9167,50.0,46,40,28.77
9,Les Cayes,HT,2021-01-26 22:15:53,18.2,-73.75,78.76,66,76,6.58
10,Thinadhoo,MV,2021-01-26 22:15:53,0.5333,72.9333,79.99,77,100,10.07
11,Ixtapa,MX,2021-01-26 22:15:54,20.7,-105.2,73.0,74,21,8.01
12,Kamenka,RU,2021-01-26 22:15:54,51.3223,42.7678,33.35,96,100,18.45
13,Bagdarin,RU,2021-01-26 22:15:54,54.4333,113.6,-14.58,80,100,4.68
14,Camacha,PT,2021-01-26 22:15:54,33.0833,-16.3333,62.6,77,40,11.5
15,Tasiilaq,GL,2021-01-26 22:15:54,65.6145,-37.6368,6.1,85,100,7.43
16,Mandan,US,2021-01-26 22:15:36,46.8267,-100.8896,6.8,78,90,9.22
17,Upernavik,GL,2021-01-26 22:14:34,72.7868,-56.1549,0.59,87,99,11.92
18,Lebu,CL,2021-01-26 22:15:55,-37.6167,-73.65,58.91,67,12,18.66
19,Bredasdorp,ZA,2021-01-26 22:15:55,-34.5322,20.0403,60.8,77,13,3.44
20,Ushuaia,AR,2021-01-26 22:15:55,-54.8,-68.3,42.8,70,75,14.97
21,Lamu,KE,2021-01-26 22:15:55,-2.2717,40.902,77.0,88,1,4.61
22,Kapaa,US,2021-01-26 22:15:55,22.0752,-159.319,75.99,88,90,17.27
23,Jumla,NP,2021-01-26 22:15:55,29.2747,82.1838,31.95,47,0,4.76
24,Beloha,MG,2021-01-26 22:15:56,-25.1667,45.05,74.12,84,32,8.88
25,Kuryk,KZ,2021-01-26 22:15:56,43.2,51.65,33.89,79,21,18.03
26,Vaini,TO,2021-01-26 22:15:56,-21.2,-175.2,80.6,89,75,8.05
27,Linqiong,CN,2021-01-26 22:15:56,30.4159,103.4609,48.99,100,40,2.24
28,Mitsamiouli,KM,2021-01-26 22:15:57,-11.3847,43.2844,80.98,67,29,1.99
29,Tuktoyaktuk,CA,2021-01-26 22:15:57,69.4541,-133.0374,-20.2,76,20,9.22
30,Makaryev,RU,2021-01-26 22:15:57,57.8797,43.8069,31.37,98,99,10.33
31,Constitucion,CL,2021-01-26 22:15:57,-35.3333,-72.4167,64.06,56,0,16.84
32,San Patricio,US,2021-01-26 22:15:57,28.017,-97.5169,82.4,61,1,8.05
33,Vao,NC,2021-01-26 22:15:58,-22.6667,167.4833,76.96,77,2,21.88
34,Kahului,US,2021-01-26 22:14:25,20.8947,-156.47,80.6,57,1,23.02
35,Rikitea,PF,2021-01-26 22:15:58,-23.1203,-134.9692,80.08,70,64,10.89
36,Ossora,RU,2021-01-26 22:15:58,59.2353,163.0719,8.04,93,100,10.56
37,Grand Gaube,MU,2021-01-26 22:15:58,-20.0064,57.6608,75.99,76,47,3.0
38,Barrow,US,2021-01-26 22:15:59,71.2906,-156.7887,-13.0,77,1,6.91
39,Varhaug,NO,2021-01-26 22:15:59,58.6147,5.6457,25.0,100,34,2.3
40,Beysehir,TR,2021-01-26 22:15:59,37.6773,31.7246,42.31,82,100,12.24
41,Cidreira,BR,2021-01-26 22:15:59,-30.1811,-50.2056,76.95,86,70,11.54
42,Raya,IN,2021-01-26 22:15:59,27.5667,77.7833,46.72,64,0,3.98
43,Bagaha,IN,2021-01-26 22:15:59,27.1,84.0833,47.21,63,0,3.98
44,Leningradskiy,RU,2021-01-26 22:16:00,69.3833,178.4167,-18.85,86,99,8.63
45,Klaksvik,FO,2021-01-26 22:16:00,62.2266,-6.589,32.0,64,17,12.66
46,Bardiyah,LY,2021-01-26 22:16:00,31.7561,25.0865,62.96,32,96,20.47
47,Albany,US,2021-01-26 22:15:41,42.6001,-73.9662,27.0,76,100,8.9
48,Busselton,AU,2021-01-26 22:16:00,-33.65,115.3333,55.99,96,39,12.55
49,Shaunavon,CA,2021-01-26 22:16:00,49.6501,-108.4181,8.6,85,100,14.97
50,Bengkulu,ID,2021-01-26 22:16:00,-3.8004,102.2655,74.07,90,100,4.94
51,Toora-Khem,RU,2021-01-26 22:16:01,52.4675,96.11,-13.88,86,100,1.88
52,Mar Del Plata,AR,2021-01-26 22:12:22,-38.0023,-57.5575,77.0,78,0,5.75
53,Olinda,BR,2021-01-26 22:16:01,-8.0089,-34.8553,78.8,69,75,6.91
54,Opuwo,NA,2021-01-26 22:16:01,-18.0607,13.84,68.7,69,85,7.49
55,Severo-Kurilsk,RU,2021-01-26 22:16:01,50.6789,156.125,24.78,95,82,23.2
56,Mporokoso,ZM,2021-01-26 22:16:02,-9.3727,30.125,61.36,97,97,3.89
57,Murindo,CO,2021-01-26 22:16:02,6.9848,-76.7544,85.5,73,90,2.75
58,Altay,CN,2021-01-26 22:16:02,47.8667,88.1167,-4.61,74,14,3.24
